Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
TSCO,"Tractor Supply Company",189.38,1.27,+0.68%,190.29,185.4,993700,04/23/21
TSLA,"Tesla Inc",729.4,9.71,+1.35%,737.36,715.46,28413801,04/23/21
TSN,"Tyson Foods",78.7,-0.34,-0.43%,79.26,78.52,1319500,04/23/21
TT,"Trane Technologies Plc",175.33,3.38,+1.97%,175.45,171.76,1057000,04/23/21
TTWO,"Take-Two Interacti",176.19,-2.19,-1.23%,179.46,174.76,1125100,04/23/21
TWTR,"Twitter Inc",67.02,2.71,+4.21%,67.13,65.43,12416000,04/23/21
TXN,"Texas Instruments",188.82,3.02,+1.63%,190.01,186.51,3512400,04/23/21
TXT,"Textron Inc",60.43,1.34,+2.27%,60.63,58.83,842300,04/23/21
TYL,"Tyler Technologies",451.5,0.14999999999998,+0.03%,456,450.54,165900,04/23/21
UA,"Under Armour Inc Cl C",19.26,0.24,+1.26%,19.47,19.17,2470400,04/23/21
UAA,"Under Armour",23.03,0.35,+1.54%,23.28,22.86,4469700,04/23/21
UAL,"United Airlines Holdings Inc",53.11,2.08,+4.08%,53.35,50.64,13862400,04/23/21
UDR,"United Dominion Realty Trust",46.78,0.63,+1.37%,46.97,46.03,2056900,04/23/21
UHS,"Universal Health Services",145.51,-1.01,-0.69%,146.7,144.1,528000,04/23/21
ULTA,"Ulta Beauty Inc",328.44,4.63,+1.43%,329.79,323.39,463600,04/23/21
UNH,"Unitedhealth Group Inc",400.31,3.77,+0.95%,401.99,394.5,2263400,04/23/21
UNM,"Unumprovident Corp",28.77,0.49,+1.73%,28.92,28.1,1548600,04/23/21
UNP,"Union Pacific Corp",223.54,5.56,+2.55%,223.94,218.57,2975600,04/23/21
UPS,"United Parcel Service",178.96,1.45,+0.82%,180.31,177.33,2407100,04/23/21
URI,"United Rentals",318.94,8.95,+2.89%,320.55,311.45,716500,04/23/21
USB,"U.S. Bancorp",57.23,1.07,+1.91%,57.66,56.08,6229500,04/23/21
V,"Visa Inc",230,2.43,+1.07%,231.82,227.71,5345400,04/23/21
VFC,"V.F. Corp",88.38,1.99,+2.30%,88.69,86.53,2613000,04/23/21
VIAC,"Viacom CBS Cl B",41.71,0.98,+2.41%,41.99,40.68,40903402,04/23/21
VLO,"Valero Energy Corp",70.18,1.7,+2.48%,70.44,68.4,3067100,04/23/21
VMC,"Vulcan Materials Company",176.57,0.45999999999998,+0.26%,177.13,175.35,503700,04/23/21
VNO,"Vornado Realty Trust",44.82,0.55,+1.24%,45.03,44.32,899900,04/23/21
VRSK,"Verisk Analytics Inc",188.88,1.62,+0.87%,189.79,185.88,925600,04/23/21
VRSN,"Verisign Inc",211.47,-0.9,-0.42%,214.49,210.05,766800,04/23/21
VRTX,"Vertex Pharmaceutic",217.9,1.92,+0.89%,218.81,215.77,1205000,04/23/21
VTR,"Ventas Inc",54.77,-0.52,-0.94%,55.33,54.45,2668400,04/23/21
VTRS,"Viatris Inc",13.36,0,0.00%,13.45,13.22,4872200,04/23/21
VZ,"Verizon Communications Inc",57.3,0.019999999999996,+0.03%,57.47,56.78,18103400,04/23/21
WAB,"Wabtec Corp",85.41,1.67,+1.99%,85.75,84,1433200,04/23/21
WAT,"Waters Corp",306.5,1.86,+0.61%,308,302.03,210500,04/23/21
WBA,"Walgreens Boots Alliance",53.02,0.44,+0.84%,53.26,52.33,4250100,04/23/21
WDC,"Western Digital Cp",68.07,1.81,+2.73%,68.43,66.01,3109300,04/23/21
WEC,"Wisconsin Energy Corp",96.79,-0.36999999999999,-0.38%,97.63,96.55,762300,04/23/21
WELL,"Welltower Inc",75.44,-0.19,-0.25%,76.18,75.06,1553100,04/23/21
WFC,"Wells Fargo & Company",43.86,1.16,+2.72%,44.18,42.63,28031400,04/23/21
WHR,"Whirlpool Corp",238.94,5.75,+2.47%,241.2,234.27,1251900,04/23/21
